Price,Close,High,Low,Open,Volume
Ticker,ASSA-B.ST,ASSA-B.ST,ASSA-B.ST,ASSA-B.ST,ASSA-B.ST
Date,,,,,
2017-02-23,152.91380310058594,154.02371974286842,150.6939437604164,151.12083878523345,2342258
2017-02-24,150.60858154296875,153.1699520659975,149.58403593931808,152.828441207382,1869997
2017-02-27,150.01092529296875,151.46236592831582,148.81562430569556,151.1208550827531,1723470
2017-02-28,149.92556762695312,151.29162416030056,149.24253284637697,150.18169427033993,2844050
2017-03-01,151.54776000976562,152.48693443784936,150.5232143786408,150.6939698125275,2543914
2017-03-02,148.73025512695312,151.97466059923946,148.1326045728542,151.54776548519666,2017632
2017-03-03,148.04721069335938,148.9863850941865,147.79108406386482,148.55949000795673,1578276
2017-03-06,147.44952392578125,148.04717429400182,146.76648935018588,148.04717429400182,1438716
2017-03-07,147.44952392578125,148.38869809569997,147.19338433145788,147.7910477274794,1485586
2017-03-08,147.87644958496094,148.38872887988327,147.02265944529282,147.1934148676657,1290891
2017-03-09,147.53494262695312,147.79108228116218,146.59576823745462,147.7056980538245,2237731
2017-03-10,147.36419677734375,148.13260276210593,145.7419875471277,148.13260276210593,3278142
2017-03-13,149.15713500976562,149.5840300802159,147.19341508013363,147.3641835305567,1995010
